物品,成交量,最低價,中位價,最高價,價格變化,日期
槍命中卷軸60%卷軸,514,90000,130000,170000,-4.08%,2025-06-09
長杖魔力卷軸60%卷軸,498,275000,300000,375000,+0.50%,2025-06-09
鞋子跳躍卷軸10%卷軸,495,179999,220000,270000,+0.87%,2025-06-09
拳套攻擊卷軸10%卷軸,488,425000,499999,525000,+2.79%,2025-06-09
披風力量卷軸60%卷軸,463,850000,950000,1010000,+1.89%,2025-06-09
頭盔敏捷性卷軸100%卷軸,431,390000,400000,430000,+0.59%,2025-06-09
雙手劍命中卷軸60%卷軸,424,35000,70000,95000,+2.71%,2025-06-09
耳飾幸運卷軸100%卷軸,387,480000,520000,570000,+0.04%,2025-06-09
槍攻擊卷軸60%卷軸,376,89999,100000,130000,-1.95%,2025-06-09
弩攻擊卷軸60%卷軸,365,28000,40000,55000,-2.45%,2025-06-09
上衣幸運卷軸100%卷軸,358,325000,380000,420000,-2.95%,2025-06-09
頭盔體力卷軸60%卷軸,344,328000,400000,420000,+1.63%,2025-06-09
手套敏捷性卷軸60%卷軸,328,89999,100000,130000,-4.75%,2025-06-09
套服敏捷卷軸10%卷軸,315,270000,300000,390000,+0.77%,2025-06-09
套服幸運卷軸60%卷軸,300,3350000,3500000,3550000,+0.29%,2025-06-09
手套攻擊卷軸100%卷軸,300,360000,450000,520000,-3.76%,2025-06-09
鞋子跳躍卷軸60%卷軸,300,629999,750000,850000,+3.71%,2025-06-09
鞋子敏捷性卷軸60%卷軸,255,40000,60000,80000,+1.28%,2025-06-09
手套攻擊卷軸10%卷軸,253,725000,800000,825000,+1.37%,2025-06-09
披風幸運卷軸10%卷軸,247,189999,200000,205000,+0.15%,2025-06-09
單手劍攻擊卷軸60%卷軸,237,35000,50000,95000,-4.61%,2025-06-09
盾牌幸運卷軸100%卷軸,236,380000,400000,470000,-5.15%,2025-06-09
飄雪結晶商城道具,234,56000,64000,73000,+10.92%,2025-06-09
矛攻擊卷軸60%卷軸,228,10000,30000,50000,-2.19%,2025-06-09
指虎攻擊卷軸60%卷軸,227,22000,30000,45000,+1.49%,2025-06-09
手套敏捷性卷軸10%卷軸,226,35000,45000,55000,+6.34%,2025-06-09
酋長的地契其他,214,200000,300000,400000,-1.54%,2025-06-09
食人花的花蜜其他,214,750000,900000,1000000,+3.12%,2025-06-09
套服智力卷軸60%卷軸,210,4699999,5000000,5200000,-0.35%,2025-06-09
上衣力量卷軸100%卷軸,208,189999,200000,230000,-1.43%,2025-06-09
耳飾體力卷軸60%卷軸,206,135000,150000,190000,-1.63%,2025-06-09
短劍攻擊卷軸10%卷軸,197,249998,300000,380000,+2.38%,2025-06-09
披風體力卷軸60%卷軸,191,200000,200000,200000,0.00%,2025-06-09
神秘背包商城道具,191,780000,820000,875000,+0.67%,2025-06-09
鞋子速度卷軸60%卷軸,188,30000,45000,55000,-8.26%,2025-06-09
槍命中卷軸10%卷軸,184,7500,10000,17000,+2.16%,2025-06-09
披風敏捷性卷軸100%卷軸,183,270000,300000,310000,+0.46%,2025-06-09
上衣體力卷軸10%卷軸,182,27500,40000,56000,-6.29%,2025-06-09
雙手劍攻擊卷軸60%卷軸,173,35000,49999,55000,-2.39%,2025-06-09
弓攻擊卷軸10%卷軸,157,150000,200000,280000,+8.56%,2025-06-09
盾牌力量卷軸60%卷軸,155,99999,145000,160000,+1.74%,2025-06-09
套服幸運卷軸100%卷軸,151,1350000,1450000,1560000,+2.03%,2025-06-09
矛命中卷軸60%卷軸,150,39000,65000,90000,-6.99%,2025-06-09
盾牌生命卷軸60%卷軸,147,735000,800000,800000,-0.62%,2025-06-09
長杖魔力卷軸10%卷軸,147,249999,350000,470000,+5.62%,2025-06-09
上衣體力卷軸60%卷軸,145,220000,270000,330000,-5.23%,2025-06-09
盾牌幸運卷軸10%卷軸,144,470000,500000,580000,+2.73%,2025-06-09
下衣體力卷軸60%卷軸,143,380000,420000,450000,-1.90%,2025-06-09
單手棍命中卷軸60%卷軸,143,19000,25000,33333,-5.97%,2025-06-09
盾牌生命卷軸10%卷軸,142,210000,250000,320000,-7.18%,2025-06-09
鞋子敏捷性卷軸10%卷軸,140,33333,50000,55000,+1.42%,2025-06-09
頭盔體力卷軸10%卷軸,135,34000,50000,56666,+0.79%,2025-06-09
套服智力卷軸100%卷軸,128,1950000,2000000,2150000,+0.40%,2025-06-09
手槍攻擊力卷軸10%卷軸,120,180000,250000,360000,+9.61%,2025-06-09
枯木樹液消耗品,120,28000,30000,30000,-0.01%,2025-06-09
肥肥頭其他,120,23000,30000,40000,-1.10%,2025-06-09
高級瞬移之石商城道具,113,120000,125000,135000,+2.41%,2025-06-09
詛咒娃娃其他,111,60,100,200,-1.07%,2025-06-09
耳飾體力卷軸10%卷軸,110,90000,100000,130000,-3.82%,2025-06-09
鞋子移動速度卷軸60%卷軸,110,28000,30000,37000,-0.41%,2025-06-09
披風幸運卷軸100%卷軸,109,290000,380000,450000,+7.97%,2025-06-09
金飛鏢裝備,103,450000,700000,950000,-22.01%,2025-06-09
土飛鏢裝備,99,5999998,7000000,8000000,-7.75%,2025-06-09
披風力量卷軸100%卷軸,93,135000,150000,155555,+1.15%,2025-06-09
耳飾敏捷卷軸100%卷軸,92,3300000,3700000,4000000,-0.35%,2025-06-09
披風智力卷軸100%卷軸,84,95000,100000,100000,+0.62%,2025-06-09
盾牌防禦卷軸60%卷軸,84,1998,7000,13000,-3.29%,2025-06-09
鋼鐵母礦其他,75,4000,6000,7500,+13.62%,2025-06-09
短杖魔力卷軸10%卷軸,74,300000,400000,500000,+5.07%,2025-06-09
雙手斧攻擊卷軸60%卷軸,74,5000,19999,35000,+13.47%,2025-06-09
披風體力卷軸10%卷軸,73,43000,50000,60000,+2.98%,2025-06-09
上衣幸運卷軸60%卷軸,70,5000000,7300000,8100000,+13.21%,2025-06-09
馬堤安的觸角其他,70,300,400,550,+2.81%,2025-06-09
指虎命中卷軸60%卷軸,68,15000,25000,30000,+1.87%,2025-06-09
耳環生命卷軸60%卷軸,68,150000,250000,329999,+1.28%,2025-06-09
敏捷母礦其他,66,34000,48000,57000,+6.16%,2025-06-09
頭盔防禦卷軸60%卷軸,66,1000,5000,10000,+2.68%,2025-06-09
套服幸運卷軸10%卷軸,65,1200000,1450000,1650000,+7.56%,2025-06-09
指虎攻擊卷軸10%卷軸,63,9999,10000,10000,0.00%,2025-06-09
槍攻擊卷軸10%卷軸,63,29999,49876,59000,-5.02%,2025-06-09
雙手棍攻擊卷軸60%卷軸,62,1900,6000,13000,+11.19%,2025-06-09
頭盔智力卷軸60%卷軸,62,2800000,3200000,3600000,+4.58%,2025-06-09
下衣敏捷性卷軸100%卷軸,61,1049996,1400000,1700000,+10.83%,2025-06-09
單手棍攻擊卷軸60%卷軸,61,5000,10000,11000,-9.36%,2025-06-09
盾牌防禦卷軸10%卷軸,61,20,5000,10000,-8.60%,2025-06-09
黑暗水晶其他,61,340000,450000,550000,-2.64%,2025-06-09
手套攻擊卷軸60%卷軸,1245,1450000,1599999,1650000,-0.22%,2025-06-10
披風幸運卷軸60%卷軸,946,1150000,1200000,1350000,+0.72%,2025-06-10
披風敏捷性卷軸60%卷軸,851,1500000,1700000,1900000,+4.09%,2025-06-10
手槍攻擊力卷軸60%卷軸,720,225000,260000,320000,+2.28%,2025-06-10
拳套攻擊卷軸60%卷軸,706,428888,499999,520000,+0.64%,2025-06-10
耳飾幸運卷軸10%卷軸,683,209999,240000,265000,+0.76%,2025-06-10
披風智力卷軸60%卷軸,682,450000,550000,650000,-0.32%,2025-06-10
盾牌幸運卷軸60%卷軸,670,1270000,1300000,1390000,-0.20%,2025-06-10
短劍攻擊卷軸60%卷軸,651,579999,620000,675000,+1.43%,2025-06-10
套服敏捷卷軸60%卷軸,608,850000,980001,1050000,+2.75%,2025-06-10
弓攻擊卷軸60%卷軸,592,175000,200000,270000,+2.33%,2025-06-10
頭盔智力卷軸100%卷軸,546,179998,239999,270000,-3.54%,2025-06-10
短杖魔力卷軸60%卷軸,535,220000,250000,260000,+0.03%,2025-06-10
鞋子跳躍卷軸10%卷軸,518,179999,220000,270000,+3.46%,2025-06-10
槍命中卷軸60%卷軸,517,95000,130000,160000,-3.64%,2025-06-10
長杖魔力卷軸60%卷軸,517,275000,300000,375000,-2.44%,2025-06-10
耳環智力卷軸60%卷軸,496,880000,900000,970000,+0.35%,2025-06-10
拳套攻擊卷軸10%卷軸,485,425000,500000,525000,+2.46%,2025-06-10
披風力量卷軸60%卷軸,455,850000,950000,1050000,+2.59%,2025-06-10
套服敏捷卷軸10%卷軸,434,250000,330000,450000,+7.40%,2025-06-10
頭盔敏捷性卷軸100%卷軸,421,390000,400000,430000,+0.60%,2025-06-10
雙手劍命中卷軸60%卷軸,407,45000,70000,90000,+2.20%,2025-06-10
槍攻擊卷軸60%卷軸,390,89999,100000,130000,-1.39%,2025-06-10
耳飾幸運卷軸100%卷軸,386,480000,510000,570000,-0.76%,2025-06-10
弩攻擊卷軸60%卷軸,366,28000,40000,55000,-1.54%,2025-06-10
鞋子跳躍卷軸60%卷軸,343,629999,790000,900000,+7.33%,2025-06-10
手套敏捷性卷軸60%卷軸,342,90000,100000,130000,-3.31%,2025-06-10
上衣幸運卷軸100%卷軸,332,325000,370000,420000,-2.98%,2025-06-10
套服幸運卷軸60%卷軸,323,3350000,3500000,3550000,+0.19%,2025-06-10
頭盔體力卷軸60%卷軸,294,360000,400000,410000,+1.09%,2025-06-10
手套攻擊卷軸100%卷軸,281,360000,450000,500000,-2.78%,2025-06-10
披風幸運卷軸10%卷軸,273,185000,200000,205000,+0.13%,2025-06-10
單手劍攻擊卷軸60%卷軸,252,40000,50000,80000,+4.01%,2025-06-10
鞋子敏捷性卷軸60%卷軸,252,40000,60000,80000,+1.03%,2025-06-10
短劍攻擊卷軸10%卷軸,250,240000,319999,450000,+15.50%,2025-06-10
手套攻擊卷軸10%卷軸,249,725000,800000,825000,+1.44%,2025-06-10
指虎攻擊卷軸60%卷軸,246,22000,30000,45000,+2.74%,2025-06-10
手套敏捷性卷軸10%卷軸,233,35000,48000,55000,+3.37%,2025-06-10
矛攻擊卷軸60%卷軸,233,10000,30000,50000,+13.69%,2025-06-10
上衣力量卷軸100%卷軸,231,180000,200000,220000,-1.81%,2025-06-10
耳飾體力卷軸60%卷軸,220,135000,150000,190000,-0.68%,2025-06-10
套服智力卷軸60%卷軸,216,4700000,5000000,5100000,-0.25%,2025-06-10
盾牌幸運卷軸100%卷軸,216,380000,400000,460000,-5.16%,2025-06-10
食人花的花蜜其他,208,750000,900000,1000000,+2.94%,2025-06-10
飄雪結晶商城道具,203,57000,65000,74000,+10.23%,2025-06-10
披風體力卷軸60%卷軸,202,199999,200000,200000,0.00%,2025-06-10
槍命中卷軸10%卷軸,198,7500,10000,17000,+6.29%,2025-06-10
神秘背包商城道具,189,780000,825000,875000,+0.54%,2025-06-10
披風敏捷性卷軸100%卷軸,183,270000,300000,310000,-1.12%,2025-06-10
單手棍命中卷軸60%卷軸,179,15000,25000,35000,-8.79%,2025-06-10
雙手劍攻擊卷軸60%卷軸,176,35000,49999,55000,+0.29%,2025-06-10
鞋子速度卷軸60%卷軸,175,30000,40000,50000,+6.71%,2025-06-10
上衣體力卷軸10%卷軸,173,25000,40000,60000,+0.43%,2025-06-10
酋長的地契其他,171,249999,300000,380000,+2.35%,2025-06-10
盾牌生命卷軸10%卷軸,161,200000,250000,300000,-6.25%,2025-06-10
盾牌生命卷軸60%卷軸,160,735000,800000,800000,+0.37%,2025-06-10
套服幸運卷軸100%卷軸,154,1350000,1450000,1560000,+1.51%,2025-06-10
手槍攻擊力卷軸10%卷軸,150,140000,300000,400000,+25.96%,2025-06-10
盾牌力量卷軸60%卷軸,148,90000,150000,190000,+4.12%,2025-06-10
鞋子敏捷性卷軸10%卷軸,147,33333,50000,55000,+5.51%,2025-06-10
矛命中卷軸60%卷軸,146,35000,60000,85000,-8.98%,2025-06-10
頭盔體力卷軸10%卷軸,139,34000,50000,55000,-1.21%,2025-06-10
下衣體力卷軸60%卷軸,138,369999,420000,450000,-2.39%,2025-06-10
長杖魔力卷軸10%卷軸,138,250000,399998,470000,+7.55%,2025-06-10
上衣體力卷軸60%卷軸,132,220000,260000,320000,-1.42%,2025-06-10
盾牌幸運卷軸10%卷軸,131,470000,500000,580000,+2.40%,2025-06-10
枯木樹液消耗品,129,27000,30000,30000,+0.64%,2025-06-10
弓攻擊卷軸10%卷軸,124,170000,200000,280000,+6.57%,2025-06-10
肥肥頭其他,124,20000,30000,40000,-6.16%,2025-06-10
耳飾體力卷軸10%卷軸,120,90000,100000,130000,-0.23%,2025-06-10
披風力量卷軸100%卷軸,118,130000,150000,160000,+2.07%,2025-06-10
鞋子移動速度卷軸60%卷軸,118,28000,30000,37000,+2.26%,2025-06-10
金飛鏢裝備,114,300000,600000,1000000,-24.03%,2025-06-10
高級瞬移之石商城道具,111,120000,125000,135000,+3.30%,2025-06-10
詛咒娃娃其他,106,50,100,250,-6.09%,2025-06-10
套服智力卷軸100%卷軸,105,1999999,2000000,2000000,0.00%,2025-06-10
耳飾敏捷卷軸100%卷軸,102,3300000,3700000,4000000,-0.32%,2025-06-10
土飛鏢裝備,96,5999998,6800000,7500000,-6.74%,2025-06-10
披風智力卷軸100%卷軸,89,99999,100000,100000,0.00%,2025-06-10
披風幸運卷軸100%卷軸,87,320000,399999,420000,+1.02%,2025-06-10
盾牌防禦卷軸60%卷軸,85,1998,7000,13000,-14.92%,2025-06-10
鋼鐵母礦其他,75,4500,6250,8000,+10.33%,2025-06-10
指虎命中卷軸60%卷軸,73,15000,25000,30000,+2.88%,2025-06-10
套服幸運卷軸10%卷軸,71,1199997,1499999,1650000,+5.97%,2025-06-10
上衣幸運卷軸60%卷軸,69,5800000,7500000,9000000,+11.59%,2025-06-10
套服智力卷軸10%卷軸,69,1475000,1800000,2000000,+0.24%,2025-06-10
披風體力卷軸10%卷軸,68,43000,50000,60000,-1.48%,2025-06-10
槍攻擊卷軸10%卷軸,67,25000,49999,60000,-4.02%,2025-06-10
頭盔防禦卷軸60%卷軸,66,2997,6000,10000,+4.32%,2025-06-10
單手棍攻擊卷軸60%卷軸,65,5000,10000,11000,+2.11%,2025-06-10
耳環生命卷軸60%卷軸,63,190000,250000,300000,-3.71%,2025-06-10
黑暗母礦其他,63,22000,27000,33000,-8.42%,2025-06-10
頭盔智力卷軸60%卷軸,62,2800000,3200000,3600000,+4.53%,2025-06-10
短杖魔力卷軸10%卷軸,60,350000,400000,490000,+3.46%,2025-06-10
褲裙跳躍卷軸60%卷軸,60,25000,49997,70000,+27.10%,2025-06-10
雙手斧攻擊卷軸60%卷軸,60,9000,15000,25000,+10.72%,2025-06-10
馬堤安的觸角其他,59,350,450,550,+6.14%,2025-06-10
套服力量卷軸100%卷軸,58,45000,75000,90000,-13.33%,2025-06-10
敏捷母礦其他,58,40000,48000,50000,+3.27%,2025-06-10
柔軟的羽毛其他,58,650,900,1100,-4.96%,2025-06-10
手套攻擊卷軸60%卷軸,1274,1450000,1599999,1650000,+0.36%,2025-06-11
披風幸運卷軸60%卷軸,968,1150000,1200000,1350000,+0.95%,2025-06-11
披風敏捷性卷軸60%卷軸,861,1500000,1700000,1900000,+4.40%,2025-06-11
手槍攻擊力卷軸60%卷軸,739,225000,260000,320000,+1.80%,2025-06-11
拳套攻擊卷軸60%卷軸,717,428888,500000,520000,+2.62%,2025-06-11
耳飾幸運卷軸10%卷軸,717,209999,248888,265000,+1.19%,2025-06-11
盾牌幸運卷軸60%卷軸,691,1279999,1300000,1375000,-0.16%,2025-06-11
披風智力卷軸60%卷軸,662,470000,550000,640000,-2.16%,2025-06-11
短劍攻擊卷軸60%卷軸,624,579999,620000,675000,+1.06%,2025-06-11
弓攻擊卷軸60%卷軸,597,175000,200000,270000,+3.86%,2025-06-11
套服敏捷卷軸60%卷軸,583,850000,999999,1050000,+1.56%,2025-06-11
短杖魔力卷軸60%卷軸,564,220000,250000,260000,-0.09%,2025-06-11
頭盔智力卷軸100%卷軸,554,179998,230000,270000,-3.75%,2025-06-11
長杖魔力卷軸60%卷軸,536,275000,300000,375000,-1.73%,2025-06-11
耳環智力卷軸60%卷軸,525,880000,900000,970000,+0.43%,2025-06-11
鞋子跳躍卷軸10%卷軸,520,179999,220000,270000,+2.78%,2025-06-11
槍命中卷軸60%卷軸,512,95000,130000,150000,-2.67%,2025-06-11
拳套攻擊卷軸10%卷軸,503,440000,500000,520000,+2.52%,2025-06-11
披風力量卷軸60%卷軸,451,850000,950000,1050000,+2.26%,2025-06-11
套服敏捷卷軸10%卷軸,428,250000,350000,450000,+9.41%,2025-06-11
頭盔敏捷性卷軸100%卷軸,420,390000,400000,430000,-0.47%,2025-06-11
雙手劍命中卷軸60%卷軸,405,50000,70000,90000,+5.08%,2025-06-11
槍攻擊卷軸60%卷軸,403,90000,100000,130000,+0.73%,2025-06-11
耳飾幸運卷軸100%卷軸,396,480000,520000,570000,+0.25%,2025-06-11
弩攻擊卷軸60%卷軸,375,28000,40000,55555,+4.07%,2025-06-11
手套敏捷性卷軸60%卷軸,367,90000,100000,130000,-3.20%,2025-06-11
鞋子跳躍卷軸60%卷軸,360,629999,800000,960000,+6.12%,2025-06-11
上衣幸運卷軸100%卷軸,354,310000,360000,430000,-2.45%,2025-06-11
頭盔體力卷軸60%卷軸,300,370000,400000,410000,+0.64%,2025-06-11
單手劍攻擊卷軸60%卷軸,289,40000,50000,80000,+1.25%,2025-06-11
套服幸運卷軸60%卷軸,268,3450000,3500000,3500001,+0.01%,2025-06-11
鞋子敏捷性卷軸60%卷軸,263,40000,60000,80000,+3.48%,2025-06-11
指虎攻擊卷軸60%卷軸,255,25000,30000,45000,-2.11%,2025-06-11
披風幸運卷軸10%卷軸,249,195000,200000,200000,+0.05%,2025-06-11
短劍攻擊卷軸10%卷軸,248,250000,340000,450000,+15.97%,2025-06-11
矛攻擊卷軸60%卷軸,247,10000,30000,50000,+9.72%,2025-06-11
套服智力卷軸60%卷軸,241,4700000,5000000,5100000,+0.21%,2025-06-11
手套敏捷性卷軸10%卷軸,240,35000,49000,55000,+4.29%,2025-06-11
耳飾體力卷軸60%卷軸,224,135000,150000,190000,+1.31%,2025-06-11
披風體力卷軸60%卷軸,221,199999,200000,200000,0.00%,2025-06-11
飄雪結晶商城道具,220,57000,68000,81000,+15.61%,2025-06-11
食人花的花蜜其他,216,800000,900000,1000000,+1.84%,2025-06-11
盾牌幸運卷軸100%卷軸,215,360000,400000,450000,-4.33%,2025-06-11
手套攻擊卷軸100%卷軸,213,380000,400000,470000,-1.76%,2025-06-11
槍命中卷軸10%卷軸,202,7500,10000,17000,+8.69%,2025-06-11
手套攻擊卷軸10%卷軸,193,768000,800000,810000,+0.21%,2025-06-11
弓攻擊卷軸10%卷軸,191,150000,220000,350000,+20.18%,2025-06-11
雙手劍攻擊卷軸60%卷軸,191,35000,49999,55000,+1.15%,2025-06-11
鞋子速度卷軸60%卷軸,189,28000,40000,55000,+0.57%,2025-06-11
單手棍命中卷軸60%卷軸,188,15000,25000,35000,-7.78%,2025-06-11
上衣力量卷軸100%卷軸,185,189999,200000,200000,+0.14%,2025-06-11
披風敏捷性卷軸100%卷軸,185,270000,300000,310000,-1.88%,2025-06-11
上衣體力卷軸10%卷軸,184,25000,40000,60000,+2.40%,2025-06-11
神秘背包商城道具,180,780000,830000,875000,+0.89%,2025-06-11
盾牌幸運卷軸10%卷軸,175,440000,530000,650000,+4.90%,2025-06-11
矛命中卷軸60%卷軸,161,35000,60000,80000,-11.97%,2025-06-11
手槍攻擊力卷軸10%卷軸,160,180000,300000,400000,+22.17%,2025-06-11
盾牌力量卷軸60%卷軸,159,95000,150000,210000,+18.92%,2025-06-11
鞋子敏捷性卷軸10%卷軸,159,33333,50000,55000,+4.36%,2025-06-11
套服幸運卷軸100%卷軸,155,1350000,1480000,1550000,+0.55%,2025-06-11
盾牌生命卷軸60%卷軸,153,740000,800000,820000,+0.75%,2025-06-11
下衣體力卷軸60%卷軸,146,369999,420000,450000,-2.86%,2025-06-11
頭盔體力卷軸10%卷軸,146,38000,50000,55000,+1.13%,2025-06-11
高級瞬移之石商城道具,143,120000,130000,150000,+6.48%,2025-06-11
長杖魔力卷軸10%卷軸,141,250000,400000,470000,+8.42%,2025-06-11
酋長的地契其他,134,280000,300000,375000,-0.10%,2025-06-11
鞋子移動速度卷軸60%卷軸,133,28000,30000,37000,+1.67%,2025-06-11
上衣體力卷軸60%卷軸,131,210000,250000,320000,-5.60%,2025-06-11
披風力量卷軸100%卷軸,127,120000,150000,160000,+1.55%,2025-06-11
耳飾體力卷軸10%卷軸,125,90000,100000,130000,+2.10%,2025-06-11
詛咒娃娃其他,124,70,100,300000,-32.32%,2025-06-11
套服智力卷軸100%卷軸,122,1999999,2000000,2000000,0.00%,2025-06-11
枯木樹液消耗品,118,28500,30000,30000,+0.11%,2025-06-11
耳飾敏捷卷軸100%卷軸,114,3300000,3700000,4000000,+3.79%,2025-06-11
金飛鏢裝備,109,350000,600000,800000,-17.52%,2025-06-11
盾牌生命卷軸10%卷軸,105,220000,250000,250001,+2.38%,2025-06-11
土飛鏢裝備,102,5499999,6500000,7500000,-7.44%,2025-06-11
披風智力卷軸100%卷軸,89,99999,100000,100000,0.00%,2025-06-11
馬堤安的觸角其他,88,270,500,800,+32.57%,2025-06-11
肥肥頭其他,86,23000,30000,30000,-1.82%,2025-06-11
盾牌防禦卷軸60%卷軸,85,1998,7000,13000,+9.98%,2025-06-11
披風幸運卷軸100%卷軸,84,320000,399999,420000,+0.72%,2025-06-11
上衣力量卷軸60%卷軸,82,1500000,1700000,1880000,+6.08%,2025-06-11
短杖魔力卷軸10%卷軸,79,340000,420000,520000,+6.52%,2025-06-11
指虎命中卷軸60%卷軸,76,15000,25000,30000,+0.02%,2025-06-11
套服智力卷軸10%卷軸,75,1475000,1900000,2200000,+4.33%,2025-06-11
披風體力卷軸10%卷軸,72,43000,50000,60000,-1.33%,2025-06-11
頭盔防禦卷軸60%卷軸,71,1500,6000,10000,+21.20%,2025-06-11
黑暗母礦其他,71,22000,27999,33000,+3.41%,2025-06-11
套服幸運卷軸10%卷軸,69,1199997,1500000,1700000,+4.36%,2025-06-11
頭盔智力卷軸60%卷軸,69,2800000,3300000,3700000,+4.76%,2025-06-11
黑暗水晶其他,63,300000,400000,600000,-5.10%,2025-06-11
槍攻擊卷軸10%卷軸,62,35000,50000,55000,+1.45%,2025-06-11
耳環生命卷軸60%卷軸,62,150000,250000,300000,+2.02%,2025-06-11
手套生命卷軸60%卷軸,61,220000,250000,320000,-2.63%,2025-06-11
單手劍攻擊卷軸10%卷軸,60,15000,30000,50000,+36.98%,2025-06-11
套服力量卷軸100%卷軸,60,45000,75000,90000,-6.14%,2025-06-11
矛命中卷軸10%卷軸,60,1888,8000,10000,+9.71%,2025-06-11
雙手斧攻擊卷軸60%卷軸,60,9000,15000,25000,+5.25%,2025-06-11
上衣幸運卷軸60%卷軸,58,6500000,7999999,8500000,+6.88%,2025-06-11
手套攻擊卷軸60%卷軸,1304,1450000,1599999,1650000,+0.40%,2025-06-12
披風幸運卷軸60%卷軸,988,1150000,1230000,1350000,+1.52%,2025-06-12
短劍攻擊卷軸60%卷軸,807,570000,650000,700000,+2.36%,2025-06-12
披風敏捷性卷軸60%卷軸,751,1580000,1700000,1850000,+2.04%,2025-06-12
手槍攻擊力卷軸60%卷軸,742,225000,270000,320000,+0.20%,2025-06-12
拳套攻擊卷軸60%卷軸,715,428888,500000,520000,+2.97%,2025-06-12
盾牌幸運卷軸60%卷軸,713,1275000,1300000,1375000,-0.55%,2025-06-12
耳飾幸運卷軸10%卷軸,698,215000,249999,260000,+1.73%,2025-06-12
披風智力卷軸60%卷軸,683,470000,550000,620000,-3.15%,2025-06-12
弓攻擊卷軸60%卷軸,598,175000,200000,270000,+1.72%,2025-06-12
套服敏捷卷軸60%卷軸,593,880000,1000000,1100000,+4.23%,2025-06-12
短杖魔力卷軸60%卷軸,568,220000,250000,260000,+0.16%,2025-06-12
頭盔智力卷軸100%卷軸,552,179998,230000,275000,-3.63%,2025-06-12
長杖魔力卷軸60%卷軸,536,275000,300000,375000,-1.61%,2025-06-12
耳環智力卷軸60%卷軸,535,880000,900000,970000,+0.60%,2025-06-12
槍命中卷軸60%卷軸,520,95000,130000,150000,-1.75%,2025-06-12
鞋子跳躍卷軸10%卷軸,518,179999,230000,275000,+3.96%,2025-06-12
鞋子跳躍卷軸60%卷軸,433,600000,800000,1000000,+6.79%,2025-06-12
頭盔敏捷性卷軸100%卷軸,429,390000,400000,430000,-0.58%,2025-06-12
套服敏捷卷軸10%卷軸,426,250000,350000,450000,+12.71%,2025-06-12
披風力量卷軸60%卷軸,416,880000,970000,1010000,+0.80%,2025-06-12
雙手劍命中卷軸60%卷軸,410,50000,70000,90000,+2.63%,2025-06-12
槍攻擊卷軸60%卷軸,409,90000,100000,130000,-0.35%,2025-06-12
上衣幸運卷軸100%卷軸,402,299999,350000,430000,-6.75%,2025-06-12
耳飾幸運卷軸100%卷軸,394,480000,520000,570000,-0.67%,2025-06-12
弩攻擊卷軸60%卷軸,385,28000,40000,55999,+5.50%,2025-06-12
手套敏捷性卷軸60%卷軸,385,90000,100000,130000,-3.35%,2025-06-12
拳套攻擊卷軸10%卷軸,379,470000,500000,510000,+0.83%,2025-06-12
頭盔體力卷軸60%卷軸,306,370000,400000,410000,+0.25%,2025-06-12
飄雪結晶商城道具,302,55000,72000,100000,+28.75%,2025-06-12
單手劍攻擊卷軸60%卷軸,299,40000,50000,80000,+0.84%,2025-06-12
耳飾體力卷軸60%卷軸,278,135000,150000,200000,+2.00%,2025-06-12
鞋子敏捷性卷軸60%卷軸,277,40000,60000,80000,+2.25%,2025-06-12
套服幸運卷軸60%卷軸,275,3450000,3500000,3580000,+0.08%,2025-06-12
指虎攻擊卷軸60%卷軸,268,25000,30000,45000,-5.25%,2025-06-12
套服智力卷軸60%卷軸,264,4700000,5000000,5100000,+0.91%,2025-06-12
手套敏捷性卷軸10%卷軸,259,35000,49998,55000,+4.42%,2025-06-12
手套攻擊卷軸100%卷軸,254,360000,400000,480000,-4.24%,2025-06-12
披風幸運卷軸10%卷軸,251,199999,200000,200000,0.00%,2025-06-12
上衣力量卷軸100%卷軸,239,170000,200000,210000,-1.37%,2025-06-12
盾牌幸運卷軸100%卷軸,238,320000,400000,450000,-6.92%,2025-06-12
短劍攻擊卷軸10%卷軸,234,250000,350000,450000,+12.19%,2025-06-12
披風體力卷軸60%卷軸,222,199999,200000,200000,0.00%,2025-06-12
食人花的花蜜其他,216,800000,900000,1000000,+2.46%,2025-06-12
神秘背包商城道具,211,780000,850000,900000,+4.12%,2025-06-12
手套攻擊卷軸10%卷軸,202,768000,800000,840000,+0.15%,2025-06-12
雙手劍攻擊卷軸60%卷軸,202,35000,49999,55000,+1.69%,2025-06-12
矛攻擊卷軸60%卷軸,200,18000,30000,45000,-1.05%,2025-06-12
鞋子速度卷軸60%卷軸,196,28000,40000,55555,-0.92%,2025-06-12
弓攻擊卷軸10%卷軸,191,150000,250000,350000,+20.92%,2025-06-12
單手棍命中卷軸60%卷軸,190,15000,25000,35000,-0.73%,2025-06-12
槍命中卷軸10%卷軸,189,7500,10000,17000,+10.64%,2025-06-12
酋長的地契其他,188,268000,320000,400000,+7.91%,2025-06-12
上衣體力卷軸10%卷軸,184,25000,40000,60000,+0.68%,2025-06-12
披風敏捷性卷軸100%卷軸,181,260000,300000,310000,-0.91%,2025-06-12
盾牌幸運卷軸10%卷軸,171,450000,530000,650000,+3.64%,2025-06-12
矛命中卷軸60%卷軸,165,35000,60000,80000,-8.29%,2025-06-12
